epoch,accuracy,loss,val_accuracy,val_loss
0,0.7705000042915344,0.7193278074264526,0.8424999713897705,0.3598487973213196
1,0.8514999747276306,0.36383986473083496,0.8374999761581421,0.4306182861328125
2,0.8790000081062317,0.32464635372161865,0.8962500095367432,0.2769745886325836
3,0.902999997138977,0.25021734833717346,0.8862500190734863,0.33187514543533325
4,0.9175000190734863,0.2333056777715683,0.8962500095367432,0.2987235188484192
5,0.9265000224113464,0.2198009341955185,0.9012500047683716,0.2981959581375122
6,0.9275000095367432,0.18841038644313812,0.8575000166893005,0.5698939561843872
7,0.9449999928474426,0.1572389453649521,0.893750011920929,0.3668491840362549
8,0.9424999952316284,0.17299890518188477,0.9012500047683716,0.3767968714237213
9,0.9490000009536743,0.14849409461021423,0.8887500166893005,0.42375248670578003
